"DataCatalog_id","Name","Acronym","Description","URL","Type","Language Supported","Periodicity","Economy Coverage","Granularity","List of Countries/Regions/Sub-National Admins","Number of Economies","Data Notes","Topics","Update Frequency","Update Schedule","Last Revision Date","Contact Details","Access Option","Bulk Download","API","Attribution/citation","SourceURL","DetailPageURL","Coverage","APIAccessURL"
"1.0","World Development Indicators","WDI","The primary World Bank collection of development indicators, compiled from officially-recognized international sources. It presents the most current and accurate global development data available, and includes national, regional and global estimates.","http://databank.worldbank.org/data/views/variableSelection/selectvariables.aspx?source=world-development-indicators","Time series","English, Spanish, French, Arabic, Chinese","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","214.0","","Agriculture & Rural Development, Aid Effectiveness, Climate Change, Economic Policy & External Debt, Education, Energy & Mining, Environment, Financial Sector, Gender, Health, Infrastructure, Labor & Social Protection, Poverty, Private Sector, Public Sector, Science & Technology, Social Development, Urban Development","Quarterly","April, July, September, December ","41540.0","data@worldbank.org","API, Bulk download, Query tool, Mobile app","WDI (Excel)-ZIP (72 MB)=http://databank.worldbank.org/data/download/WDI_excel.zip=excel;WDI (CSV)-ZIP (39 MB)=http://databank.worldbank.org/data/download/WDI_csv.zip=csv","1.0","World Development Indicators, The World Bank","","http://data.worldbank.org/data-catalog/world-development-indicators","1960 - 2012","http://data.worldbank.org/developers"
"2.0","Africa Development Indicators","ADI","The primary World Bank collection of development indicators on Africa, compiled from officially-recognized international sources. It presents the most current and accurate global development data available, and includes national, regional and global estimates. ","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=africa-development-indicators","Time series","English","Annual","MNA, IBRD, SSA, IDA, LMY, HIC","National;Regional","","53.0","","Urban Development","Biannually","August, January","41327.0","data@worldbank.org","API, Bulk download, Query tool, Mobile app","ADI (Excel) - ZIP (23.3 MB)=http://databank.worldbank.org/data/download/ADI_excel.zip=excel;ADI (CSV) - ZIP (12.6 MB)=http://databank.worldbank.org/data/download/ADI_csv.zip=csv","1.0","Africa Development Indicators, The World Bank","","http://data.worldbank.org/data-catalog/africa-development-indicators","1960 - 2012","http://data.worldbank.org/developers"
"3.0","Global Economic Monitor","GEM","Providing daily updates of global economic developments, with coverage of high income- as well as developing countries. Daily data updates are provided for exchange rates, equity markets, interest rates, stripped bond spreads, and emerging market bond indices. Monthly data coverage (updated daily and populated upon availability) is provided for consumer prices, high-tech market indicators, industrial production and merchandise trade. ","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=global-economic-monitor-(gem)","Time series","English","Day","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","196.0","","Economic Policy & External Debt","Daily","","Current","","API, Bulk download, Query tool","GEM (Excel) - ZIP(9.97 MB)=http://siteresources.worldbank.org/INTPROSPECTS/Resources/GemDataEXTR.zip=excel","1.0","Global Economic Monitor, The World Bank","","http://data.worldbank.org/data-catalog/global-economic-monitor","1990 - 2011","http://data.worldbank.org/developers"
"4.0","Research Datasets and Analytical Tools","","Various specialized datasets compiled for World Bank research activities, sorted by topic. Many datasets are in raw unprocessed formats, and are specific in scope and coverage","http://econ.worldbank.org/WBSITE/EXTERNAL/EXTDEC/EXTRESEARCH/0,,contentMDK:20388241~menuPK:665266~pagePK:64165401~piPK:64165026~theSitePK:469382,00.html","Cross sectional;Time series","English","","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;City or metropolitan;Household;Other","","","","Agriculture & Rural Development, Energy & Mining, Environment, Health, Public Sector, Climate Change, Economic Policy & External Debt, Education, Poverty, Labor & Social Protection","No fixed schedule","Varies by dataset","","","Query tool","","0.0","Development Economics Research Group, The World Bank","","http://data.worldbank.org/data-catalog/research-datasets-analytical-tools","",""
"5.0","Country at-a-Glance Tables","AAG","Country at-a-glance tables present key indicators tracing the trends in social and economic development from the last three decades.","http://data.worldbank.org/data-catalog/at-a-glance-table","Time series","English","Annual","EAP, ECA, LAC, MNA, SAS, SSA, LMY, IBRD, IDA","National","","144.0","Tables are available for low- and middle-income economies only.","Agriculture & Rural Development, Aid Effectiveness, Climate Change, Economic Policy & External Debt, Education, Energy & Mining, Environment, Financial Sector, Gender, Health, Infrastructure, Labor & Social Protection, Poverty, Private Sector, Public Sector, Science & Technology, Social Development, Urban Development","Annually","March","March, 2013","data@worldbank.org","Query tool","","0.0","Country at-a-Glance Tables, The World Bank","","http://data.worldbank.org/data-catalog/at-a-glance-table","1990 - 2011",""
"6.0","Millennium Development Goals","MDGs","Relevant indicators drawn from the World Development Indicators, reorganized according to the goals and targets of the Millennium Development Goals (MDGs).","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=millennium-development-goals","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","214.0","","Agriculture & Rural Development, Aid Effectiveness, Climate Change, Economic Policy & External Debt, Education, Energy & Mining, Environment, Financial Sector, Gender, Health, Infrastructure, Labor & Social Protection, Poverty, Private Sector, Public Sector, Science & Technology, Social Development, Urban Development","Quarterly","April, July, September, December ","41464.0","data@worldbank.org","API, Bulk download, Query tool","MDG (CSV) - ZIP(1.67 MB)=http://databank.worldbank.org/data/download/MDG_csv.zip=csv;MDG (Excel) - ZIP(3.71 MB)=http://databank.worldbank.org/data/download/MDG_Excel.zip=excel","1.0","Millennium Development Goals, The World Bank","","http://data.worldbank.org/data-catalog/millennium-development-indicators","1990 - 2011","http://data.worldbank.org/developers"
"7.0","Actionable Governance Indicators","AGI","Actionable governance indicators focus on specific aspects of governance, and are designed to provide guidance on the design of reforms and the monitoring of impacts. ","https://www.agidata.org/site/Download.aspx","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","224.0","Data for Taiwan, China are available.","Public Sector","No fixed schedule","Varies by data source","","Francesca Recanatini, Senior Public Sector Specialist: frecanatini@worldbank.org","Query tool","","0.0","Actionable Governance Indicators Data Portal, The World Bank. Also cite the individual data source.","","http://data.worldbank.org/data-catalog/actionable-governance-indicators","1990 - 2013",""
"8.0","Bulletin Board on Statistical Capacity","BBSC","The Bulletin Board on Statistical Capacity (BBSC) provides information on various aspects of national statistical systems of developing countries, including a country-level statistical capacity indicator. ","http://bbsc.worldbank.org/bbsc/SelectColorParameter","Time series","English","Annual","EAP, ECA, LAC, MNA, SAS, SSA, LMY, IBRD, IDA","National","","145.0","","Public Sector","Annually","Annually in September for Statistical Capacity indicator; other data updated continuously","August, 2012","BBStatCap@worldbank.org","Bulk download, Query tool","BBSC 2012 (Excel) (596 KB)=http://data.worldbank.org/sites/default/files/data/bbsc_2012_0.xls=xls","0.0","Bulletin Board on Statistical Capacity, The World Bank","","http://data.worldbank.org/data-catalog/bulletin-board-on-statistical-capacity","1999 - 2012",""
"9.0","Doing Business","DB","Doing Business provides objective measures of business regulations and their enforcement across 185 economies. Each economy is ranked according to 10 sets of indicators. These are combined into an overall ""ease of doing business"" ranking. ","http://www.doingbusiness.org/Data","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","185.0","Coverage expanded to include Barbados and Malta","Financial Sector","Annually","October","41183.0","doingbusiness@worldbank.org","API, Mobile app, Query tool","","1.0","Doing Business, The World Bank (http://www.doingbusiness.org)","","http://data.worldbank.org/data-catalog/doing-business-database","2004 - 2013","http://data.worldbank.org/developers"
"10.0","Education Statistics","EdStats","The World Bank EdStats Query holds around 2,500 internationally comparable education indicators for access, progression, completion, literacy, teachers, population, and expenditures. The indicators cover the education cycle from pre-primary to tertiary education. The query also holds learning outcome data from international learning assessments (PISA, TIMSS, etc.), equity data from household surveys, and projection data to 2050.","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=education-statistics-~-all-indicators","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","216.0","","Education","Quarterly","UIS indicators updatedin February, June, August, and November. Other indicators updated following new data releases. ","41547.0","eservice@worldbank.org","API, Bulk download, Query tool, Mobile app","EdStats(Excel) - ZIP(34.6 MB)=http://databank.worldbank.org/data/download/EdStats_excel.zip=excel;EdStats (CSV) - ZIP(19.6 MB)=http://databank.worldbank.org/data/download/Edstats_csv.zip=csv","1.0","EdStats, The World Bank","","http://data.worldbank.org/data-catalog/ed-stats","1970 - 2050","http://data.worldbank.org/developers"
